t,raw_ch0,clean_ch0,raw_ch1,clean_ch1,raw_ch2,clean_ch2
2995.691,-34.19,13.41,-69.35,-29.44,-46.69,-11.63
2995.695,-18.95,25.96,-65.05,-29.28,-52.16,-20.42
2995.699,-1.76,37.0,-65.05,-29.0,-57.63,-27.04
2995.703,9.57,46.1,-63.88,-29.17,-58.41,-30.87
2995.707,15.82,53.0,-58.41,-29.72,-55.68,-32.42
2995.711,25.59,57.19,-54.11,-30.23,-51.38,-32.73
2995.715,30.67,57.68,-52.55,-30.16,-47.86,-32.46
2995.719,29.5,53.4,-50.21,-28.95,-45.52,-31.19
2995.723,22.08,44.43,-43.17,-26.29,-40.05,-27.8
2995.727,8.79,32.59,-39.27,-22.42,-32.63,-21.66
2995.73,-1.76,20.62,-35.36,-18.07,-24.42,-13.49
2995.734,-10.35,10.44,-26.76,-14.17,-11.53,-5.3
2995.738,-13.87,2.18,-24.81,-11.45,-5.27,0.89
2995.742,-23.25,-5.25,-25.2,-10.2,-3.32,4.33
2995.746,-37.31,-12.78,-24.81,-10.25,-5.27,5.94
2995.75,-46.3,-20.41,-31.84,-11.23,-5.67,7.5
2995.754,-54.11,-27.27,-38.1,-12.97,-6.45,10.38
2995.758,-64.66,-32.24,-41.61,-15.75,-4.49,14.81
2995.762,-70.53,-34.63,-46.69,-19.97,-2.54,19.96
2995.766,-69.74,-34.67,-57.24,-25.59,-0.2,24.56
2995.77,-71.31,-33.4,-66.23,-31.96,2.54,27.59
2995.773,-72.48,-32.16,-71.7,-38.31,1.37,28.77
2995.777,-73.26,-31.95,-79.9,-44.19,-0.59,28.65
2995.781,-79.12,-33.04,-89.28,-49.17,-4.49,28.43
2995.785,-83.81,-35.07,-96.31,-52.41,-8.79,29.3
2995.789,-90.45,-37.46,-100.61,-52.79,-9.18,31.65
2995.793,-92.8,-39.86,-96.7,-49.6,-2.93,34.9
2995.797,-90.84,-42.44,-84.59,-43.17,2.54,37.86
2995.801,-88.11,-45.54,-72.48,-34.73,8.01,39.56
2995.805,-86.54,-48.88,-60.76,-25.92,13.09,39.69
2995.809,-88.11,-51.16,-49.04,-18.15,15.43,38.4
2995.812,-87.33,-50.77,-38.88,-12.22,14.26,35.92
2995.816,-77.56,-47.0,-33.8,-8.13,15.04,32.26
2995.82,-63.49,-40.31,-27.55,-5.25,13.87,27.27
2995.824,-54.51,-31.6,-18.95,-2.87,11.14,20.85
2995.828,-40.83,-21.34,-12.31,-0.64,8.01,13.28
2995.832,-23.25,-9.82,-6.84,1.35,6.06,5.32
2995.836,-6.45,2.11,-0.98,2.77,2.15,-1.96
2995.84,7.62,12.88,3.32,3.23,0.2,-7.51
2995.844,18.56,21.18,6.06,2.57,-0.59,-10.84
2995.848,25.59,26.92,4.88,1.04,-1.37,-12.31
2995.852,27.16,31.4,-0.59,-0.76,-4.49,-13.09
2995.855,28.72,36.16,-2.93,-2.38,-5.67,-14.41
2995.859,34.19,41.5,-4.88,-3.72,-9.57,-16.69
2995.863,35.36,46.02,-9.57,-4.77,-18.56,-19.13
2995.867,35.75,47.68,-11.92,-5.16,-18.95,-20.35
2995.871,36.14,45.46,-11.14,-4.22,-17.0,-19.57
2995.875,29.11,40.23,-6.06,-1.62,-14.26,-17.28
2995.879,23.25,33.99,1.37,2.34,-8.01,-14.76
2995.883,25.98,28.47,8.79,6.79,-2.15,-12.95
2995.887,27.16,24.45,14.65,10.67,0.98,-11.79
2995.891,24.03,22.23,20.9,12.95,4.49,-10.58
2995.895,24.81,22.07,24.81,12.93,10.74,-8.78
2995.898,31.06,23.86,23.25,10.78,15.04,-6.59
2995.902,37.7,26.67,22.86,7.69,18.56,-4.58
2995.906,42.39,29.26,24.03,5.28,24.42,-3.27
2995.91,49.04,31.16,27.16,4.69,28.72,-2.78
2995.914,52.94,33.21,30.67,5.87,28.33,-3.02
2995.918,56.07,36.76,35.36,7.75,33.02,-3.92
2995.922,67.4,42.15,39.66,9.05,34.58,-5.46
2995.926,75.21,48.06,39.66,9.22,31.45,-7.33
2995.93,76.78,52.3,41.61,8.79,30.28,-8.96
2995.934,80.29,53.37,40.44,8.85,31.45,-9.99
2995.938,79.51,51.48,39.66,9.99,29.11,-10.74
2995.941,71.7,48.4,42.78,11.58,27.55,-11.99
2995.945,69.35,46.22,44.74,12.29,25.2,-14.27
2995.949,70.92,46.06,40.44,11.26,20.9,-17.31
2995.953,70.92,47.66,33.41,8.78,14.65,-20.2
2995.957,68.96,49.97,31.84,5.74,11.92,-22.09
2995.961,70.92,51.83,30.28,2.88,13.48,-22.77
2995.965,74.82,52.33,27.16,0.52,13.09,-22.53
2995.969,75.21,51.06,27.94,-1.16,16.21,-21.69
2995.973,76.78,48.43,31.45,-2.01,22.47,-20.25
2995.977,74.43,45.52,33.02,-2.09,25.98,-18.0
2995.98,73.26,43.36,33.02,-1.77,29.11,-14.73
2995.984,72.09,41.96,37.31,-1.43,36.92,-10.46
2995.988,74.43,40.17,36.14,-1.08,41.22,-5.52
2995.992,70.13,36.66,36.92,-0.04,45.91,-0.42
2995.996,61.15,31.04,42.78,2.72,51.38,4.12
2996.0,57.24,24.16,45.91,7.74,55.68,7.3
2996.004,53.33,17.75,50.99,14.35,56.46,8.52
2996.008,45.91,13.67,59.19,20.58,54.9,7.74
2996.012,42.39,13.19,64.27,24.21,52.16,5.52
2996.016,46.3,16.1,58.02,24.13,46.69,2.76
2996.02,48.25,20.49,51.38,20.95,40.83,0.17
2996.023,47.08,23.71,46.3,16.2,37.7,-1.96
2996.027,45.52,23.9,39.27,11.14,33.41,-3.61
2996.031,41.61,21.2,31.45,6.37,30.28,-4.64
2996.035,37.7,17.7,26.76,2.02,28.33,-4.73
2996.039,31.06,16.08,20.51,-1.92,27.55,-3.78
2996.043,33.02,17.66,13.87,-5.54,28.72,-2.21
2996.047,35.36,21.28,12.7,-8.99,29.11,-0.84
2996.051,37.31,24.08,6.84,-12.21,27.16,-0.34
2996.055,38.1,23.67,0.98,-14.83,26.37,-0.82
2996.059,29.89,19.84,-0.2,-16.31,23.25,-1.79
2996.062,21.29,14.34,0.2,-16.32,21.68,-2.56
2996.066,19.73,9.06,1.37,-14.91,24.81,-2.45
2996.07,20.9,4.64,5.27,-12.44,28.33,-1.06
2996.074,16.21,0.67,13.09,-9.36,30.67,1.59
2996.078,13.87,-3.28,18.56,-5.94,38.1,4.8
2996.082,13.48,-7.15,22.86,-2.11,43.17,7.24
2996.086,11.53,-10.88,29.89,2.23,45.13,7.58
2996.09,9.18,-14.78,36.92,6.87,46.3,5.44
2996.094,6.84,-19.26,42.78,11.15,42.78,1.94
2996.098,0.2,-24.2,44.74,14.47,36.14,-0.87
2996.102,-8.01,-28.72,41.22,16.6,34.19,-1.38
2996.105,-12.7,-31.96,42.78,17.58,36.92,0.57
2996.109,-17.0,-34.04,42.0,17.53,38.49,3.99
2996.113,-20.12,-36.25,38.88,16.77,37.31,7.75
2996.117,-25.98,-40.09,34.58,15.97,40.05,11.4
2996.121,-33.8,-45.87,30.28,15.76,40.83,15.0
2996.125,-46.3,-52.35,27.94,16.12,40.05,18.59
2996.129,-58.02,-57.78,27.16,16.45,40.83,21.92
2996.133,-59.58,-61.22,23.64,16.34,42.0,24.58
2996.137,-60.37,-62.76,18.95,16.19,39.27,26.17
2996.141,-66.62,-62.43,18.17,16.84,37.31,26.29
2996.145,-65.45,-59.54,20.9,18.64,35.75,24.4
2996.148,-58.02,-53.33,22.08,20.97,31.84,19.91
2996.152,-48.25,-44.24,24.03,22.73,23.64,12.71
2996.156,-36.92,-34.06,25.98,23.19,15.43,3.63
2996.16,-26.76,-24.71,25.98,22.54,8.01,-5.59
2996.164,-20.51,-16.97,21.29,21.65,-3.71,-12.93
2996.168,-17.0,-10.32,21.68,21.24,-7.23,-17.03
2996.172,-9.96,-4.15,22.47,21.24,-4.49,-17.6
2996.176,-0.98,0.98,22.86,20.88,-4.1,-15.17
2996.18,-0.2,3.24,23.64,19.6,0.98,-10.49
2996.184,-2.15,0.69,20.9,17.56,9.57,-4.28
2996.188,-6.06,-7.09,16.21,15.36,15.82,2.76
2996.191,-23.25,-18.37,15.82,13.24,21.68,9.87
2996.195,-36.14,-30.09,15.82,10.93,29.89,16.47
2996.199,-40.44,-39.73,11.14,8.29,34.58,22.38
2996.203,-46.69,-46.44,8.01,5.85,40.44,27.69
2996.207,-54.11,-51.01,8.01,4.48,46.3,32.39
2996.211,-56.85,-54.85,9.18,4.58,50.21,36.12
2996.215,-62.32,-59.01,9.18,5.87,51.38,38.35
2996.219,-66.23,-63.53,9.57,7.76,50.21,38.85
2996.223,-67.4,-67.14,12.7,9.9,50.6,37.73
2996.227,-73.65,-67.8,15.04,12.27,47.86,35.31
2996.23,-67.4,-64.02,17.0,14.97,43.17,31.71
2996.234,-58.02,-56.04,22.47,18.03,41.22,26.74
2996.238,-47.08,-45.89,24.03,21.28,33.02,20.3
2996.242,-39.27,-36.08,25.2,24.48,24.42,12.8
2996.246,-35.75,-28.39,29.5,27.49,14.26,5.37
2996.25,-30.67,-23.3,28.33,30.29,8.01,-0.57
2996.254,-27.94,-20.39,27.16,32.65,3.32,-4.0
2996.258,-29.89,-18.78,29.89,33.96,-0.59,-4.73
2996.262,-31.45,-17.57,27.55,33.46,-2.54,-3.51
2996.266,-34.58,-16.46,17.39,31.0,-4.1,-1.59
2996.27,-38.88,-16.06,9.18,27.28,-6.84,-0.09
2996.273,-43.96,-17.64,2.93,23.29,-9.96,0.7
2996.277,-50.6,-22.26,-2.93,19.62,-11.53,1.42
2996.281,-60.37,-29.73,-7.62,16.55,-12.31,3.05
2996.285,-67.79,-38.17,-11.14,14.53,-11.92,5.74
2996.289,-77.95,-44.8,-13.09,14.28,-8.4,8.15
2996.293,-82.64,-47.43,-11.53,16.36,-8.79,8.06
2996.297,-80.29,-45.82,-7.62,20.52,-13.87,4.09
2996.301,-74.82,-41.61,-2.93,25.68,-23.64,-3.13
2996.305,-70.92,-36.77,-0.59,30.3,-32.23,-11.22
2996.309,-68.18,-32.15,2.54,33.1,-38.88,-17.86
2996.312,-66.23,-27.45,6.06,33.63,-41.61,-22.19
2996.316,-56.07,-22.42,2.93,32.38,-43.57,-25.0
2996.32,-50.6,-17.39,-0.59,30.45,-47.86,-27.6
2996.324,-50.6,-12.78,-2.54,28.78,-52.94,-30.48
2996.328,-49.43,-8.31,-7.23,27.63,-59.19,-33.0
2996.332,-45.91,-3.39,-8.79,26.64,-60.37,-33.97
2996.336,-36.53,1.76,-7.62,25.2,-54.51,-32.48
2996.34,-26.76,5.61,-4.49,22.79,-45.91,-28.53
2996.344,-18.95,6.41,0.2,19.22,-33.8,-22.9
2996.348,-14.26,3.99,1.76,14.8,-22.47,-17.01
2996.352,-17.0,0.61,-4.88,10.06,-14.26,-12.49
2996.355,-17.78,-0.32,-2.54,5.26,-10.35,-10.54
2996.359,-9.18,3.25,-6.06,0.13,-8.01,-11.27
2996.363,-2.15,10.39,-13.09,-5.59,-11.92,-13.37
2996.367,6.45,17.9,-16.21,-11.53,-10.74,-14.79
2996.371,17.0,22.86,-20.51,-16.71,-8.01,-14.01
2996.375,16.61,24.7,-23.64,-20.16,-4.1,-10.99
2996.379,13.09,25.2,-21.68,-21.52,-0.2,-7.18
2996.383,19.73,26.66,-22.08,-21.02,4.1,-4.32
2996.387,27.16,30.11,-22.08,-19.32,5.67,-3.27
2996.391,28.33,34.97,-17.0,-17.29,4.88,-3.59
2996.395,34.19,39.79,-12.7,-15.92,6.84,-4.13
2996.398,39.27,42.99,-13.87,-15.71,6.45,-4.04
2996.402,38.1,43.29,-17.39,-16.35,5.67,-3.28
2996.406,31.84,40.2,-18.95,-16.85,5.67,-2.27
2996.41,24.42,34.42,-20.51,-16.3,3.32,-1.25
2996.414,12.31,27.65,-24.81,-14.45,-2.15,-0.05
2996.418,1.37,21.66,-24.81,-11.86,-2.54,1.48
2996.422,-6.06,17.26,-25.98,-9.38,-4.88,3.07
2996.426,-12.31,14.04,-30.67,-7.54,-8.79,4.06
2996.43,-20.9,10.94,-29.11,-6.19,-11.92,3.95
2996.434,-22.08,7.31,-28.72,-4.82,-12.31,2.63
2996.438,-22.08,3.58,-28.33,-3.37,-13.09,0.24
2996.441,-28.72,1.17,-23.64,-2.51,-16.61,-3.08
2996.445,-29.11,1.57,-22.08,-2.9,-20.51,-7.36
2996.449,-22.08,5.28,-29.11,-4.15,-28.33,-12.86
2996.453,-18.17,11.62,-32.23,-4.83,-36.92,-19.92
2996.457,-12.31,19.28,-27.55,-3.88,-43.96,-28.65
2996.461,-0.2,26.99,-21.68,-1.74,-49.43,-38.3
2996.465,10.74,33.74,-17.39,-0.15,-55.68,-47.01
2996.469,20.51,38.88,-12.7,-0.62,-56.85,-52.4
2996.473,30.67,42.5,-10.35,-3.31,-52.16,-52.88
2996.477,36.14,45.47,-11.14,-7.11,-44.35,-48.83
2996.48,41.22,48.86,-10.74,-10.64,-32.63,-42.37
2996.484,51.38,52.88,-7.62,-13.33,-21.29,-35.93
2996.488,60.37,56.64,-8.4,-15.56,-15.43,-30.83
2996.492,63.49,58.95,-8.01,-18.06,-9.57,-26.97
2996.496,63.49,59.3,-8.4,-21.11,-4.49,-23.76
2996.5,62.71,58.06,-12.7,-24.33,-0.98,-21.02
2996.504,60.76,55.96,-20.51,-27.26,-0.2,-18.99
2996.508,54.11,53.56,-22.86,-29.93,-2.54,-17.54
2996.512,46.3,51.06,-27.94,-32.77,-6.45,-15.95
2996.516,40.44,48.31,-38.49,-35.8,-8.4,-13.33
2996.52,34.58,44.83,-44.74,-38.29,-6.06,-9.55
2996.523,25.98,40.0,-46.69,-39.34,-4.1,-5.31
2996.527,16.61,33.39,-47.86,-38.73,-2.54,-1.48
2996.531,8.01,25.38,-49.04,-37.04,-2.54,1.65
2996.535,-0.98,17.49,-48.64,-35.05,-3.32,4.15
2996.539,-11.53,12.13,-50.21,-33.14,-3.71,5.82
2996.543,-13.48,11.27,-49.43,-31.25,-2.93,5.91
2996.547,-8.4,14.85,-45.13,-29.11,-4.1,3.85
2996.551,-2.93,20.29,-42.78,-26.46,-8.79,0.39
2996.555,4.1,23.96,-40.44,-23.1,-11.14,-2.33
2996.559,4.1,23.4,-32.63,-18.87,-9.18,-2.08
2996.562,-2.15,18.71,-23.25,-13.61,-2.93,1.75
2996.566,0.2,12.01,-15.04,-7.22,8.79,7.54
2996.57,0.2,5.88,-1.76,0.15,21.29,12.54
2996.574,0.59,2.1,14.26,7.72,27.55,14.68
2996.578,4.49,1.17,24.81,14.28,28.72,13.6
2996.582,7.62,2.49,29.5,18.73,29.11,10.13
2996.586,12.7,4.9,33.41,20.56,25.59,5.07
2996.59,14.65,7.42,33.02,19.95,18.95,-1.33
2996.594,15.04,9.78,31.06,17.64,13.09,-8.96
2996.598,22.08,12.38,31.06,14.82,4.1,-17.11
2996.602,25.59,15.92,25.98,12.86,-4.49,-24.46
2996.605,28.33,20.82,27.94,12.72,-6.45,-29.89
2996.609,37.7,26.73,31.45,14.33,-8.4,-33.06
2996.613,41.61,32.37,33.02,16.83,-12.7,-34.31
2996.617,43.17,36.08,34.19,19.14,-12.7,-34.08
2996.621,46.3,36.67,31.45,20.43,-12.7,-32.65
2996.625,38.49,34.14,31.06,20.24,-13.48,-30.19
2996.629,27.55,29.51,28.33,18.47,-11.53,-26.99
2996.633,25.98,24.03,22.86,15.62,-9.57,-23.41
2996.637,20.9,18.75,16.61,12.65,-8.01,-19.81
2996.641,11.92,14.59,13.87,10.23,-6.06,-16.4
2996.645,6.06,12.22,11.92,8.15,-4.1,-13.27
2996.648,5.27,11.4,6.06,5.58,-3.32,-10.35
2996.652,5.27,10.78,0.2,1.9,-2.54,-7.58
2996.656,-1.76,8.7,-5.27,-2.61,-1.76,-4.95
2996.66,-6.06,4.82,-11.92,-6.92,-1.37,-2.63
2996.664,-12.31,0.7,-19.34,-9.96,-4.49,-0.99
2996.668,-19.34,-1.19,-20.12,-11.35,-2.15,-0.4
2996.672,-14.26,0.46,-18.95,-11.63,-2.15,-0.89
2996.676,-6.45,4.54,-18.95,-11.7,-2.93,-1.86
2996.68,-3.32,7.96,-15.43,-11.99,-1.37,-2.18
2996.684,-4.1,7.57,-15.82,-12.18,1.37,-0.77
2996.688,-4.88,2.11,-17.39,-11.6,5.27,2.83
2996.691,-17.39,-7.1,-13.48,-9.96,9.96,8.2
2996.695,-31.84,-17.09,-10.35,-7.62,15.82,14.31
2996.699,-35.75,-25.14,-10.74,-5.22,19.73,19.93
2996.703,-41.22,-30.23,-12.7,-3.21,21.68,23.98
2996.707,-50.99,-33.07,-10.74,-1.93,22.08,25.84
2996.711,-52.94,-35.17,-11.14,-1.65,21.68,25.58
2996.715,-53.72,-37.73,-14.26,-2.29,17.0,23.97
2996.719,-60.76,-40.87,-16.21,-3.2,14.65,22.06
2996.723,-61.54,-43.45,-14.26,-3.37,13.87,20.42
2996.727,-61.15,-43.61,-15.82,-2.12,10.74,18.69
2996.73,-61.54,-39.93,-12.7,0.35,9.18,15.86
2996.734,-50.21,-32.32,-6.84,3.06,4.49,11.17
2996.738,-38.1,-22.1,-7.62,4.86,-0.59,4.97
2996.742,-26.37,-11.15,-4.88,5.04,-6.45,-1.32
2996.746,-17.39,-0.96,-2.15,3.65,-9.57,-6.01
2996.75,-3.32,7.83,-4.1,1.22,-8.01,-8.29
2996.754,10.35,15.47,-6.06,-1.76,-5.27,-8.68
2996.758,17.39,22.83,-1.76,-5.26,-0.98,-8.54
2996.762,27.55,30.71,-0.98,-9.51,0.98,-9.12
2996.766,44.35,38.95,-6.84,-14.36,2.15,-10.92
2996.77,49.82,45.99,-11.14,-19.2,0.98,-13.56
2996.773,50.99,49.42,-12.31,-23.5,-1.37,-15.98
2996.777,50.6,47.22,-18.17,-27.25,-2.54,-16.68
2996.781,42.0,38.97,-21.68,-30.58,-0.98,-14.17
2996.785,30.28,26.32,-22.86,-33.15,4.1,-7.73
2996.789,13.87,12.42,-26.37,-34.17,15.04,1.97
2996.793,4.1,0.24,-23.64,-33.01,28.72,13.03
2996.797,-5.27,-9.12,-17.39,-29.96,39.66,23.42
2996.801,-11.14,-16.78,-13.09,-26.19,48.25,32.21
2996.805,-13.48,-24.55,-10.35,-23.1,56.46,39.63
2996.809,-25.2,-32.97,-8.01,-21.67,63.49,46.03
2996.812,-36.14,-40.76,-6.84,-22.03,68.96,50.95
2996.816,-39.66,-45.94,-9.18,-23.48,71.31,53.25
2996.82,-39.27,-47.43,-15.43,-24.79,68.18,52.19
2996.824,-44.35,-45.31,-17.78,-24.81,58.8,48.45
2996.828,-44.74,-40.3,-17.0,-23.04,49.04,43.77
2996.832,-39.27,-33.32,-20.9,-19.61,43.96,39.74
2996.836,-31.45,-25.63,-16.61,-15.21,40.83,36.76
2996.84,-23.64,-18.66,-7.62,-10.9,38.88,34.06
2996.844,-16.21,-13.4,-3.71,-7.69,38.1,30.67
2996.848,-9.57,-9.66,-0.98,-6.12,34.58,26.26
2996.852,-8.01,-6.08,-3.32,-6.15,26.37,21.2
2996.855,-6.84,-1.1,-5.27,-7.58,23.25,16.02
2996.859,0.2,5.67,-8.79,-10.45,15.43,11.07
2996.863,6.45,12.96,-15.43,-14.74,6.84,6.55
2996.867,8.79,18.72,-22.86,-19.89,2.93,2.79
2996.871,12.31,21.55,-31.45,-24.85,-1.76,0.3
2996.875,7.23,21.51,-37.7,-28.7,-6.06,-0.48
2996.879,-2.54,19.34,-40.05,-30.98,-8.4,0.57
2996.883,-5.27,15.3,-46.3,-31.48,-9.57,3.02
2996.887,-11.92,8.95,-50.6,-30.08,-10.35,5.96
2996.891,-29.89,0.21,-50.21,-26.92,-12.31,8.42
2996.895,-45.52,-9.87,-49.43,-22.82,-14.65,10.05
2996.898,-58.02,-19.65,-51.77,-18.94,-18.17,11.43
2996.902,-73.26,-28.21,-54.51,-16.02,-24.03,13.65
2996.906,-84.59,-35.81,-56.46,-13.83,-23.64,17.36
2996.91,-93.58,-42.95,-56.85,-11.46,-20.51,21.94
2996.914,-101.78,-49.15,-56.46,-8.24,-20.51,25.63
2996.918,-106.86,-52.56,-51.38,-4.59,-18.17,26.52
2996.922,-101.0,-51.04,-45.91,-2.05,-16.21,23.77
2996.926,-90.84,-43.66,-43.96,-2.24,-23.64,18.1
2996.93,-77.56,-31.63,-42.0,-5.43,-25.98,11.37
2996.934,-55.68,-17.81,-43.17,-10.11,-24.42,5.26
2996.938,-35.75,-5.27,-43.57,-14.05,-25.98,0.47
2996.941,-25.59,4.29,-38.49,-15.97,-23.64,-3.18
2996.945,-15.43,10.96,-32.23,-16.28,-21.68,-6.03
2996.949,-2.15,15.66,-29.89,-16.33,-21.29,-7.97
2996.953,4.88,18.94,-27.94,-17.14,-17.0,-8.6
2996.957,9.96,20.5,-21.68,-18.82,-9.57,-7.78
2996.961,15.04,19.44,-18.95,-20.86,-2.54,-5.82
2996.965,15.04,14.96,-18.17,-22.54,2.93,-3.05
2996.969,6.45,7.03,-15.82,-23.18,8.79,0.57
2996.973,2.54,-3.17,-13.48,-22.41,15.04,5.27
2996.977,-9.57,-13.45,-10.74,-20.26,20.51,10.94
2996.98,-18.95,-21.51,-6.84,-17.17,28.72,16.76
2996.984,-20.12,-26.19,-1.76,-13.77,34.58,21.63
2996.988,-20.51,-28.0,0.59,-10.63,37.7,25.01
2996.992,-20.9,-28.72,5.27,-8.05,41.22,27.3
2996.996,-21.68,-30.23,10.74,-6.02,44.35,29.32
2997.0,-21.29,-33.46,12.31,-4.42,49.43,31.53
2997.004,-22.47,-37.73,13.48,-3.3,53.72,33.56
2997.008,-28.33,-41.01,17.78,-2.99,54.9,34.66
2997.012,-25.98,-41.21,19.73,-3.63,55.68,34.34
2997.016,-20.9,-37.8,17.39,-4.58,55.29,32.69
2997.02,-14.26,-32.36,17.0,-4.63,53.33,30.06
2997.023,-6.45,-27.43,21.29,-3.03,52.16,26.68
2997.027,-6.06,-24.51,26.37,-0.33,47.86,22.47
2997.031,-2.15,-22.77,27.16,2.13,42.0,17.13
2997.035,0.2,-19.65,28.72,3.45,34.97,10.37
2997.039,4.1,-12.78,25.98,3.97,24.42,2.16
2997.043,12.31,-1.98,25.2,4.95,14.26,-7.12
2997.047,24.42,10.24,27.94,7.57,3.32,-16.5
2997.051,34.97,20.31,31.06,12.18,-7.23,-24.65
2997.055,42.39,26.17,35.75,18.18,-12.31,-30.38
2997.059,42.39,28.75,43.57,24.3,-13.87,-33.33
2997.062,42.39,30.79,51.77,29.4,-14.65,-34.11
2997.066,51.38,34.27,54.9,33.06,-11.14,-33.95
2997.07,62.32,38.85,58.8,35.68,-10.35,-34.1
2997.074,61.93,42.7,63.49,37.86,-11.53,-35.38
2997.078,65.05,44.44,66.62,39.73,-13.09,-38.0
2997.082,64.66,43.99,65.05,40.81,-16.61,-41.5
2997.086,61.15,42.05,65.05,40.26,-20.51,-44.71
2997.09,58.02,38.97,61.93,37.45,-22.08,-45.88
2997.094,55.29,34.46,56.85,32.48,-20.12,-43.26
2997.098,47.86,28.08,51.77,26.4,-14.26,-36.11
2997.102,38.1,20.06,42.39,20.72,-3.71,-25.59
2997.105,28.72,11.58,37.31,16.37,7.23,-14.52
2997.109,21.29,4.24,35.75,13.01,15.43,-5.98
2997.113,14.65,-0.71,29.11,9.4,15.43,-1.6
2997.117,9.57,-3.13,24.03,4.6,16.61,-0.79
2997.121,13.87,-3.95,17.39,-1.35,17.39,-1.47
2997.125,12.31,-4.7,12.7,-7.58,17.39,-1.42
2997.129,6.45,-6.52,10.35,-13.11,21.68,0.55
2997.133,13.09,-9.47,6.06,-17.36,25.98,4.29
2997.137,11.53,-12.25,2.93,-20.33,31.84,8.72
2997.141,8.01,-12.77,6.06,-22.61,38.88,12.54
2997.145,17.0,-9.79,8.79,-25.05,45.91,14.93
2997.148,25.98,-4.42,6.06,-28.08,49.82,16.0
2997.152,33.41,0.22,3.32,-31.49,49.82,16.6
2997.156,33.8,1.43,-0.2,-34.56,49.43,17.65
2997.16,25.2,-0.66,-5.67,-36.63,47.08,19.28
2997.164,18.56,-3.24,-11.53,-37.25,45.91,20.79
2997.168,17.0,-3.47,-8.4,-36.22,47.47,21.3
2997.172,24.42,-1.12,-4.88,-33.48,47.08,20.65
2997.176,25.98,1.36,-5.27,-29.17,42.0,19.66
2997.18,17.78,1.16,-1.76,-23.66,36.92,19.37
2997.184,6.06,-2.63,-3.32,-17.61,31.84,20.05
2997.188,-4.88,-8.77,-8.4,-12.01,25.2,21.01
2997.191,-22.86,-15.55,-9.18,-7.86,17.78,21.32
2997.195,-34.58,-22.42,-10.35,-5.51,11.53,20.81
2997.199,-44.35,-30.01,-18.56,-4.31,2.54,19.96
2997.203,-59.58,-38.74,-25.98,-2.85,-4.88,19.04
2997.207,-81.07,-47.63,-25.59,-0.1,-10.74,17.38
2997.211,-89.28,-54.97,-25.98,4.02,-18.56,13.95
2997.215,-98.66,-60.26,-25.98,8.99,-29.11,8.7
2997.219,-106.08,-65.08,-22.47,14.54,-35.75,3.31
2997.223,-106.08,-71.66,-15.82,20.79,-39.66,0.25
2997.227,-122.1,-80.48,-9.96,27.65,-40.05,0.85
2997.23,-132.65,-89.2,-2.93,34.36,-35.75,4.05
2997.234,-129.91,-94.05,4.49,39.72,-31.06,6.94
2997.238,-130.7,-92.39,8.01,42.78,-29.89,6.79
2997.242,-117.8,-84.42,12.7,43.51,-30.28,3.05
2997.246,-101.39,-73.12,18.17,42.85,-32.23,-2.41
2997.25,-86.94,-62.51,20.12,42.07,-31.06,-6.68
2997.254,-72.48,-55.42,23.64,41.94,-27.16,-7.76
2997.258,-65.45,-51.99,32.23,42.37,-19.73,-5.63
2997.262,-58.8,-49.95,39.66,42.82,-10.35,-1.9
2997.266,-48.64,-46.63,43.57,43.07,0.2,1.43
2997.27,-32.63,-40.98,50.99,43.4,8.79,3.2
2997.273,-22.08,-34.21,58.41,43.99,15.04,3.57
2997.277,-12.31,-28.65,64.27,44.47,19.34,3.66
2997.281,-4.49,-25.86,67.79,44.25,24.03,4.61
2997.285,1.76,-25.44,70.53,43.26,29.89,6.73
2997.289,0.2,-25.41,70.13,41.92,35.36,9.19
2997.293,6.45,-23.78,73.26,40.48,42.0,10.7
2997.297,17.39,-20.2,77.95,38.47,44.74,10.59
2997.301,23.64,-15.97,76.78,34.95,47.08,9.39
2997.305,31.45,-12.55,72.48,29.27,49.82,8.41
2997.309,34.97,-10.16,66.62,21.66,49.82,8.78
2997.312,31.45,-7.66,59.19,13.28,50.6,10.42
2997.316,35.36,-3.91,45.91,5.89,49.82,12.06
2997.32,39.66,1.21,37.7,1.14,46.69,11.98
2997.324,43.17,7.0,36.14,-0.31,41.22,9.21
2997.328,43.17,12.76,35.75,0.87,34.19,4.15
2997.332,48.25,17.99,33.8,3.11,26.37,-1.58
2997.336,52.94,21.96,34.58,4.85,20.12,-6.1
2997.34,49.43,23.49,35.36,5.38,17.39,-8.18
2997.344,50.21,21.6,33.8,5.21,16.61,-7.74
2997.348,44.74,16.53,33.8,5.76,18.95,-5.7
2997.352,37.31,10.08,34.97,8.41,19.73,-3.4
2997.355,29.89,4.7,40.05,13.31,21.29,-2.05
2997.359,26.76,1.92,45.52,19.09,21.29,-2.16
2997.363,22.86,1.21,46.69,23.94,13.48,-3.41
2997.367,17.78,0.51,45.52,26.99,8.79,-4.87
2997.371,11.92,-2.19,38.88,28.84,2.15,-5.67
2997.375,-3.71,-7.37,34.58,30.84,-4.49,-5.38
2997.379,-19.34,-13.96,33.41,33.92,-9.96,-4.09
2997.383,-26.76,-20.46,31.06,38.07,-13.09,-2.12
2997.387,-36.14,-26.05,29.11,42.53,-17.0,0.15
2997.391,-47.08,-30.81,29.89,46.16,-18.17,2.35
